codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
MED-010,LABORATORIO DE BIOLOGÍA I,1,1,MED-100
MED-100,BIOLOGÍA I,3,1,MED-010
ODO-100,INTRODUCCIÓN A LA ODONTOLOGÍA,3,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
MED-200,EMBRIOLOGÍA,3,2,MED-010;MED-100
MED-395,FUNDAMENTOS DE ANATOMÍA,2,2,MED-010;MED-100;MED-396
MED-396,LABORATORIO DE FUNDAMENTOS DE ANATOMÍA,1,2,MED-010;MED-100;MED-395
MED-397,FUNDAMENTOS DE FISIOLOGÍA,2,2,MED-010;MED-100;MED-398
MED-398,LABORATORIO DE FUNDAMENTOS DE FISIOLOGÍA,1,2,MED-010;MED-100;MED-397
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
MED-172,ANATOMÍA I,4,3,MED-395;MED-396;MED-175
MED-175,LABORATORIO DE ANATOMÍA I,2,3,MED-395;MED-396;MED-172
MED-272,MICROBIOLOGÍA MÉDICA,3,3,MED-200;MED-274
MED-274,LABORATORIO DE MICROBIOLOGÍA MÉDICA,1,3,MED-200;MED-272
MED-750,QUÍMICA INORGÁNICA I,3,3,MAT-100;MED-755
MED-755,LABORATORIO DE QUÍMICA INORGÁNICA I,1,3,MAT-100;MED-750
ODO-110,ANATOMÍA CRÁNEOFACIAL Y BUCODENTAL,3,3,MED-395;MED-396
